"STATION","NAME","DATE","AWND","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT10"
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-13","5.14",,"0.35",,"0.0","0.0","65","73","57",,"  190","  190","16.1","21.0","    1","    1",,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-14","7.61",,"0.00",,"0.0","0.0","64","72","54",,"  280","  300","19.9","25.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-15","10.74",,"0.00",,"0.0","0.0","65","87","48",,"  190","  200","25.1","32.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-16","6.26",,"0.00",,"0.0","0.0","71","76","53",,"  260","  260","21.0","29.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-17","2.68",,"0.00",,"0.0","0.0","59","70","41",,"  320","  340","12.1","21.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-18","5.82",,"0.00",,"0.0","0.0","57","71","39",,"   40","   50","17.0","21.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-19","11.86",,"0.01",,"0.0","0.0","55","59","43",,"  360","  360","21.0","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-20","8.95",,"0.00",,"0.0","0.0","44","48","37",,"  320","  320","19.9","25.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-21","5.82",,"0.00",,"0.0","0.0","44","59","35",,"  310","  280","15.0","19.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-22","13.87",,"0.00",,"0.0","0.0","51","70","35",,"  190","  190","28.0","38.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-23","15.21",,"0.00",,"0.0","0.0","63","74","56",,"  180","  190","25.1","33.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-24","14.32",,"0.74",,"0.0","0.0","64","67","50",,"  190","  190","23.9","32.0","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-25","7.16",,"0.00",,"0.0","0.0","50","50","40",,"  360","  340","16.1","19.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-26","3.36",,"0.00",,"0.0","0.0","51","75","35",,"  190","  200","13.0","17.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-27","9.17",,"0.18",,"0.0","0.0","64","71","53",,"  310","  310","31.1","40.9","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-28","6.26",,"0.00",,"0.0","0.0","55","63","45",,"  330","  310","17.0","23.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-29","5.59",,"0.00",,"0.0","0.0","53","65","39",,"   60","   30","16.1","23.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-30","13.65",,"0.00",,"0.0","0.0","58","77","43",,"  180","  180","28.0","38.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-03-31","14.32",,"0.68",,"0.0","0.0","67","76","57",,"  170","  180","32.0","38.9","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-01","8.05",,"0.00",,"0.0","0.0","64","69","53",,"  330","  340","18.1","23.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-02","10.74",,"0.00",,"0.0","0.0","55","64","44",,"  310","  290","23.9","36.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-03","4.70",,"0.00",,"0.0","0.0","53","68","37",,"  190","  360","14.1","17.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-04","11.41",,"0.00",,"0.0","0.0","64","79","47",,"  340","  330","21.9","29.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-05","6.71",,"0.00",,"0.0","0.0","51","60","37",,"   10","   10","18.1","21.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-06","13.42",,"0.19",,"0.0","0.0","54","66","41",,"  180","  260","31.1","40.9",,,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-07","9.17",,"0.04",,"0.0","0.0","55","66","44",,"  340","  340","23.9","35.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-08","8.05",,"0.00",,"0.0","0.0","50","58","40",,"  270","  290","19.9","30.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-09","7.83",,"0.00",,"0.0","0.0","46","55","37",,"  360","  340","16.1","21.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-10","11.41",,"0.04",,"0.0","0.0","49","71","37",,"  190","  190","29.1","36.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-11","14.99",,"0.01",,"0.0","0.0","63","71","52",,"  190","  190","36.0","49.0","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-12","11.86",,"0.01",,"0.0","0.0","55","65","45",,"   30","   40","21.9","25.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-13","3.13",,"0.00",,"0.0","0.0","55","70","41",,"   40","   50","10.1","14.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-14","4.47",,"0.01",,"0.0","0.0","63","74","55",,"  110","   90","12.1","14.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-15","6.71",,"0.00",,"0.0","0.0","66","79","56",,"  160","  150","16.1","21.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-16","4.70",,"0.00",,"0.0","0.0","65","79","49",,"   70","  180","14.1","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-17","4.25",,"0.00",,"0.0","0.0","67","82","53",,"   60","   50","12.1","16.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-18","2.46",,"0.00",,"0.0","0.0","68","85","49",,"  150","  260","13.0","21.9",,,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-19","1.79",,"0.00",,"0.0","0.0","67","83","52",,"  240","  250","8.9","13.0",,,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-20","4.92",,"0.00",,"0.0","0.0","71","85","57",,"  190","  180","15.0","21.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-21","8.50",,"0.22",,"0.0","0.0","70","76","60",,"  200","  190","23.0","31.1","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-22","6.04",,"0.00",,"0.0","0.0","66","76","59",,"  310","  330","18.1","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-23","6.26",,"0.00",,"0.0","0.0","64","75","52",,"   30","  340","14.1","18.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-24","4.47",,"0.00",,"0.0","0.0","65","83","48",,"  170","  170","14.1","17.0","    1",,,,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-25","8.05",,"0.00",,"0.0","0.0","71","85","59",,"  190","  190","21.0","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-26","6.93",,"0.29",,"0.0","0.0","73","87","61",,"  150","  150","21.9","23.9","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-27","7.16",,"0.14",,"0.0","0.0","74","85","64",,"  270","  260","18.1","25.1",,,"    1",,,,"    1",,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-28","5.37",,"0.00",,"0.0","0.0","72","84","60",,"  270","  250","15.0","23.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-29","4.03",,"0.00",,"0.0","0.0","69","81","55",,"  290","  300","13.0","18.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-04-30","2.91",,"0.17",,"0.0","0.0","68","77","63",,"  200","  180","8.9","12.1","    1",,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-01","5.37",,"0.00",,"0.0","0.0","71","83","63",,"  190","  230","15.0","19.9","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-02","5.37",,"0.40",,"0.0","0.0","65","68","57",,"  320","  310","18.1","23.0","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-03","6.04",,"0.00",,"0.0","0.0","60","67","53",,"  320","  330","14.1","19.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-04","6.71",,"0.06",,"0.0","0.0","59","70","46",,"  340","  340","30.0","45.0","    1",,"    1",,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-05","9.40",,"0.00",,"0.0","0.0","54","60","44",,"  360","  350","23.9","31.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-06","6.93",,"0.00",,"0.0","0.0","59","73","47",,"  310","   10","17.0","28.0",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-07","7.61",,"0.00",,"0.0","0.0","66","86","49",,"  280","  250","19.9","25.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-08","6.93",,"0.00",,"0.0","0.0","76","86","64",,"  280","  280","16.1","25.1",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-09","8.50",,"0.00",,"0.0","0.0","72","76","65",,"  170","  160","17.0","21.9",,,,,,,,,
"USW00013897","NASHVILLE INTERNATIONAL AIRPORT, TN US","2016-05-10","10.51",,"0.06",,"0.0","0.0","71","84","66",,"  190","  190","21.0","25.9","    1",,"    1",,,,,,
